player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,region,league,zscore
starki,MOUZ,"['omen', 'brimstone', 'astra']",634,1.02,198.8,1.02,72.0,129.2,0.6900000000000001,0.38,0.1,0.1,30.0,15.0,emea,challengers,2.158491502445251
susbake,O1O,"['sage', 'deadlock', 'sova']",311,1.02,215.7,1.0,72.0,143.9,0.75,0.23,0.11,0.09,32.0,28.0,emea,gc,6.081863716160414
Shazeon,SGE,"['viper', 'cypher', 'fade']",206,1.02,203.8,1.02,71.0,131.7,0.73,0.24,0.11,0.11,28.0,11.0,emea,challengers,-0.23056104962541502
Sliicyy,char,"['yoru', 'breach', 'kayo']",298,1.02,201.8,0.96,71.0,127.5,0.7000000000000001,0.46,0.09,0.1,26.0,22.0,emea,gc,2.694532911582625
Tag,DSY,"['viper', 'sage', 'cypher']",351,1.02,192.4,1.04,70.0,135.9,0.7000000000000001,0.27,0.08,0.1,37.0,16.0,emea,challengers,1.879228695818998
Kicks,VIT,"['kayo', 'breach', 'gekko']",611,1.02,185.6,0.9400000000000001,73.0,119.6,0.65,0.47000000000000003,0.07,0.07,22.0,21.0,emea,international,0.566471595826974
TajReX,LDS,"['viper', 'raze', 'killjoy']",385,1.02,218.9,1.01,70.0,147.3,0.74,0.23,0.13,0.11,24.0,8.0,emea,challengers,0.289740013393648
ardiis,NAVI,"['breach', 'jett', 'yoru']",209,1.01,197.1,0.98,71.0,127.8,0.71,0.33,0.14,0.09,21.0,24.0,emea,international,1.95138086753075
Crewen,HOWL,"['cypher', 'killjoy', 'viper']",381,1.01,192.5,1.0,72.0,133.0,0.6900000000000001,0.26,0.09,0.06,28.0,6.0,emea,challengers,-0.765880389520858
zeek,GN,"['sova', 'kayo', 'breach']",496,1.01,190.9,1.02,73.0,130.2,0.67,0.34,0.07,0.06,24.0,13.0,emea,challengers,0.06059463082613901
ALIVE,ACE,"['jett', 'raze']",375,1.01,208.5,1.0,71.0,143.4,0.7000000000000001,0.23,0.14,0.12,24.0,9.0,emea,challengers,-0.610129567446798
benjyfishy,TH,"['viper', 'cypher', 'killjoy']",950,1.01,188.1,1.07,70.0,127.4,0.71,0.17,0.08,0.09,37.0,17.0,emea,international,0.621740523316968
d3ffo,VLNT,"['jett', 'yoru', 'raze']",503,1.01,220.1,1.03,69.0,148.0,0.78,0.16,0.17,0.15,25.0,18.0,emea,challengers,1.820965725874233
K4DAVRA,M8,"['omen', 'cypher', 'viper']",212,1.0,201.4,1.01,68.0,129.0,0.72,0.29,0.09,0.08,28.0,11.0,emea,international,-0.6264551384222431
Wo0t,TH,"['fade', 'iso', 'kayo']",950,1.0,193.1,0.97,75.0,126.8,0.67,0.37,0.09,0.09,36.0,18.0,emea,international,3.7518007122726793
globeX,CHCH,"['yoru', 'raze', 'jett']",300,1.0,217.9,1.0,71.0,144.4,0.73,0.24,0.19,0.16,17.0,10.0,emea,challengers,-0.847885022593405
adora,HERO,"['raze', 'sage', 'jett']",251,1.0,215.9,1.01,67.0,148.6,0.75,0.22,0.18,0.17,30.0,7.0,emea,gc,0.08528076758599501
Deqadz,RUD,"['omen', 'viper', 'harbor']",358,1.0,200.0,1.0,73.0,125.2,0.6900000000000001,0.42,0.1,0.1,18.0,9.0,emea,challengers,-1.232909535670304
T0BA,391.0,"['cypher', 'killjoy', 'brimstone']",391,1.0,197.2,1.01,69.0,136.2,0.6900000000000001,0.27,0.08,0.09,24.0,13.0,emea,challengers,10.172979634037613
Kiles,KPI,"['viper', 'breach', 'fade']",323,0.99,164.3,0.97,77.0,111.2,0.6000000000000001,0.36,0.03,0.04,28.0,15.0,emea,challengers,-1.588733469627062
Masic,GAL,"['jett', 'raze', 'chamber']",629,0.99,192.5,0.96,67.0,129.9,0.67,0.25,0.11,0.09,28.0,12.0,emea,challengers,-2.390016700134739
ness,GX.GC,"['sova', 'gekko']",236,0.99,183.7,0.93,73.0,129.3,0.61,0.33,0.07,0.06,25.0,18.0,emea,gc,-0.7865856233595361
GrTw,SAW,"['killjoy', 'cypher']",382,0.99,206.5,0.99,72.0,136.2,0.7000000000000001,0.23,0.12,0.08,25.0,10.0,emea,challengers,0.037852631070725
Cunha20,SAW,"['omen', 'viper', 'brimstone']",382,0.99,178.4,0.97,73.0,119.8,0.66,0.37,0.05,0.05,37.0,15.0,emea,challengers,1.649081913029877
SEIDER,FKS,"['fade', 'gekko', 'astra']",245,0.99,178.8,1.02,71.0,116.5,0.64,0.26,0.09,0.07,38.0,6.0,emea,challengers,-1.404703892048691
ip0TT,GAL,"['iso', 'breach', 'kayo']",629,0.98,226.3,1.02,71.0,149.1,0.79,0.18,0.17,0.16,30.0,11.0,emea,challengers,2.6103455372982163
cNed,FUT,"['raze', 'jett']",255,0.98,218.9,1.01,67.0,150.2,0.75,0.14,0.18,0.17,25.0,5.0,emea,international,-2.177013923013061
SUYGETSU,NAVI,"['killjoy', 'cypher', 'viper']",209,0.98,180.2,0.97,69.0,120.9,0.67,0.2,0.08,0.05,30.0,10.0,emea,international,-3.126604644611443
BySmall,HOWL.M,"['sova', 'gekko', 'sage']",240,0.98,182.4,0.91,70.0,123.7,0.65,0.26,0.03,0.03,31.0,14.0,emea,gc,-2.24069687075344
ZachKappa,CHCH,"['killjoy', 'raze', 'viper']",300,0.98,183.9,1.01,67.0,128.9,0.67,0.14,0.07,0.07,36.0,4.0,emea,challengers,-4.012417556106254
Tempo,SNS,"['cypher', 'viper', 'killjoy']",478,0.98,198.3,1.02,67.0,133.3,0.72,0.13,0.1,0.11,30.0,14.0,emea,challengers,-2.326291018966627
H1ber,NOVO,"['kayo', 'breach', 'sova']",416,0.98,198.0,0.93,72.0,128.0,0.67,0.39,0.1,0.09,26.0,27.0,emea,challengers,2.807783199186475
xanarchy,SGE,"['gekko', 'sova', 'skye']",206,0.98,171.2,0.91,73.0,113.3,0.62,0.34,0.07,0.04,27.0,12.0,emea,challengers,-2.5105645596407102
marteen,KC,"['yoru', 'omen', 'gekko']",208,0.98,198.2,0.97,74.0,134.3,0.73,0.19,0.13,0.1,34.0,23.0,emea,international,3.9114098874447283
Celasun,PCF,"['killjoy', 'cypher', 'brimstone']",827,0.97,177.9,0.99,71.0,122.7,0.65,0.19,0.05,0.06,29.0,10.0,emea,challengers,-4.030093135379727
MrFaliN,FUT,"['breach', 'omen', 'sova']",255,0.97,178.8,0.9400000000000001,71.0,116.4,0.61,0.44,0.07,0.09,23.0,14.0,emea,international,-3.101553827554575
Boo,TH,"['brimstone', 'omen', 'viper']",950,0.97,174.6,0.9400000000000001,74.0,111.7,0.62,0.4,0.08,0.07,30.0,15.0,emea,international,-0.5533511668008371
Ninou,VLNT,"['sova', 'fade', 'breach']",522,0.97,175.1,0.92,75.0,119.2,0.59,0.39,0.05,0.08,17.0,16.0,emea,gc,-4.156752592086387
Docent,KAST,"['omen', 'viper', 'reyna']",221,0.97,191.1,0.9400000000000001,67.0,128.8,0.68,0.31,0.07,0.09,27.0,22.0,emea,challengers,-1.208446387278535
Snowi,OF,"['breach', 'skye', 'gekko']",218,0.97,176.3,0.84,72.0,120.1,0.61,0.49,0.03,0.06,23.0,14.0,emea,challengers,-2.976242149542471
NeskaaS,VLNT,"['killjoy', 'cypher', 'brimstone']",503,0.97,188.8,0.96,69.0,125.1,0.6900000000000001,0.2,0.11,0.1,27.0,24.0,emea,challengers,-1.007903533049132
jademwah,O1O,"['viper', 'sova', 'omen']",421,0.97,203.5,0.99,68.0,131.7,0.6900000000000001,0.34,0.09,0.14,23.0,20.0,emea,gc,-1.4251069296688321
Harmonee,aTTaX,"['fade', 'sova', 'gekko']",535,0.97,190.1,0.91,68.0,130.9,0.64,0.27,0.08,0.1,28.0,20.0,emea,gc,-2.241621425512224
Guardy,BAR,"['gekko', 'kayo', 'skye']",499,0.97,181.8,0.88,71.0,121.2,0.63,0.38,0.06,0.07,28.0,14.0,emea,challengers,-2.165903005545475
Kalkkuna,STR99,"['jett', 'raze']",201,0.97,208.7,1.03,72.0,139.4,0.75,0.12,0.17,0.18,27.0,13.0,emea,challengers,-0.688845185013324
bipo,NOVO,"['neon', 'yoru', 'jett']",416,0.96,207.6,1.02,65.0,135.3,0.75,0.19,0.18,0.19,31.0,3.0,emea,challengers,-3.24649763566016
ellie,aTTaX,"['raze', 'jett']",535,0.96,201.2,1.0,67.0,134.6,0.74,0.14,0.15,0.19,31.0,13.0,emea,gc,-2.860727531039636
Mel,VLNT,"['viper', 'omen', 'brimstone']",522,0.96,182.5,0.92,72.0,117.3,0.64,0.44,0.06,0.09,32.0,15.0,emea,gc,-0.409382096856908
TakaS,M8,"['neon', 'yoru', 'omen']",212,0.96,203.1,0.9400000000000001,67.0,136.0,0.7000000000000001,0.23,0.17,0.21,23.0,19.0,emea,international,-3.24562231865186
hype,APK,"['killjoy', 'viper', 'cypher']",599,0.96,188.4,1.0,71.0,125.1,0.66,0.24,0.1,0.09,28.0,21.0,emea,challengers,-0.290207252930532
Fragger,SAW,"['kayo', 'iso', 'sage']",382,0.9500000000000001,190.0,0.93,70.0,125.8,0.68,0.4,0.08,0.11,30.0,20.0,emea,challengers,0.45514214297599703
Danda,DEMU,"['omen', 'fade', 'sova']",385,0.9500000000000001,176.8,0.91,71.0,113.1,0.64,0.35000000000000003,0.05,0.06,28.0,17.0,emea,challengers,-2.418610256311493
lurzy0y0,GAL,"['omen', 'breach', 'viper']",629,0.9500000000000001,183.5,0.93,71.0,123.5,0.66,0.25,0.07,0.07,32.0,10.0,emea,challengers,-2.394671970995131
DESTRUCT1VEE,GAL,"['cypher', 'viper', 'astra']",629,0.9500000000000001,185.7,0.9400000000000001,70.0,122.9,0.66,0.33,0.09,0.1,28.0,18.0,emea,challengers,-1.293164786416763
lenka,ZER.M,"['killjoy', 'brimstone', 'cypher']",348,0.9500000000000001,187.5,0.9400000000000001,71.0,128.2,0.67,0.2,0.11,0.07,29.0,15.0,emea,gc,-1.016912961228636
MiniBoo,TH,"['raze', 'neon', 'kayo']",950,0.9400000000000001,207.3,0.9500000000000001,70.0,136.8,0.71,0.21,0.16,0.16,30.0,8.0,emea,international,-1.443849873319265
Shao,NAVI,"['brimstone', 'omen', 'astra']",209,0.9400000000000001,182.4,0.86,71.0,126.1,0.64,0.33,0.07,0.06,32.0,26.0,emea,international,1.209699236067198
Obnoks,MOUZ,"['sova', 'gekko', 'reyna']",634,0.9400000000000001,182.8,0.89,73.0,126.0,0.63,0.34,0.06,0.07,28.0,12.0,emea,challengers,-1.990541053686569
alexiiik,GN,"['neon', 'jett', 'raze']",496,0.9400000000000001,210.6,1.03,66.0,135.6,0.76,0.14,0.18,0.18,30.0,7.0,emea,challengers,-2.424450362943544
maniek,BAR,"['yoru', 'jett', 'neon']",499,0.9400000000000001,218.7,1.01,65.0,142.4,0.77,0.19,0.17,0.22,23.0,17.0,emea,challengers,-2.379870505230998
